City,Month,Max Temp,Min Temp,Rainfall,Humidity,PH
Dinajpur,8,32,27,296.2,84,5.5
Dinajpur,9,32,26,321.5,84,5.5
Dinajpur,10,31,23,98.5,82,5.5
Dinajpur,11,29,18,7.3,79,5.5
Dinajpur,12,25,13,0,82,5.5
Rangpur,1,22,12,7.2,82,5.9
Rangpur,2,26,15,17,72,5.9
Rangpur,3,31,19,7.6,65,5.9
Rangpur,4,32,22,93.4,73,5.9
Rangpur,5,32,24,225.4,78,5.9
Rangpur,6,32,26,456.7,83,5.9
Rangpur,7,33,27,264.9,82,5.9
Rangpur,8,32,27,296.2,84,5.9
Rangpur,9,32,26,321.5,84,5.9
Rangpur,10,31,23,98.5,82,5.9
Rangpur,11,29,18,7.3,79,5.9
Rangpur,12,25,13,0,82,5.9
Bogra,1,23,13,5.2,77,5.5
Bogra,2,27,16,12.6,67,5.5
Bogra,3,32,20,6,62,5.5
Bogra,4,33,23,77.9,70,5.5
Bogra,5,34,25,140.6,75,5.5
Bogra,6,33,27,314.8,81,5.5
Bogra,7,33,27,192,82,5.5
Bogra,8,33,27,258.1,84,5.5
Bogra,9,33,26,191.8,83,5.5
Bogra,10,32,24,92.1,80,5.5
Bogra,11,30,19,3.1,74,5.5
Bogra,12,25,14,1.6,78,5.5
Nilphamari,1,22,12,7.2,82,6
Nilphamari,2,26,15,17,72,6
Nilphamari,3,31,19,7.6,65,6
Nilphamari,4,32,22,93.4,73,6
Nilphamari,5,32,24,224.4,78,6
Nilphamari,6,32,26,456.7,83,6
Nilphamari,7,33,27,264.9,82,6
Nilphamari,8,32,27,296.2,84,6
Nilphamari,9,32,26,321.5,84,6
Nilphamari,10,31,23,98.5,82,6
Nilphamari,11,29,18,7.3,79,6
Nilphamari,12,25,13,0,82,6
Kurigram,1,22,12,7.2,82,6
Kurigram,2,26,15,17,72,6
Kurigram,3,31,19,7.6,65,6
Kurigram,4,32,22,93.4,73,6
Kurigram,5,32,24,224.4,78,6
Kurigram,6,32,26,456.7,83,6
Kurigram,7,33,27,264.9,82,6
Kurigram,8,32,27,296.2,84,6
Kurigram,9,32,26,321.5,84,6
Kurigram,10,31,23,98.5,82,6
Kurigram,11,29,18,7.3,79,6
Kurigram,12,25,13,0,82,6
Comilla,1,25,11,6,78,5
Comilla,2,29,14,7,70,5
Comilla,3,33,19,21.6,66,5
Comilla,4,34,23,117.4,72,5
Comilla,5,34,24,208.8,78,5
Comilla,6,33,25,213.8,84,5
Comilla,7,32,26,204.9,84,5
Comilla,8,32,26,205.3,85,5
Comilla,9,33,25,139.8,85,5
Comilla,10,32,23,98.5,83,5
Comilla,11,30,18,6.9,78,5
Comilla,12,26,13,6,80,5
Jessore,1,30,15,19.6,65,6.9
Jessore,2,33,15,2.1,54,6.9
Jessore,3,37,18,17,46,6.9
Jessore,4,39,24,61.2,47,6.9
Jessore,5,36,24,166.6,64,6.9
Jessore,6,34,24,176.7,72,6.9
Jessore,7,32,24,251.3,76,6.9
Jessore,8,32,24,234.2,77,6.9
Jessore,9,33,24,153.5,75,6.9
Jessore,10,33,22,115,74,6.9
Jessore,11,31,19,38.7,71,6.9
Jessore,12,29,16,8.4,70,6.9
